,Experiment,Model,Metric/Class,Hyperparameters,Performance
92,overall_SMOTE,XGBClassifier,precision,"{""colsample_bytree"": 0.8, ""gamma"": 0, ""learning_rate"": 0.4, ""max_depth"": 6, ""n_estimators"": 75, ""reg_alpha"": 0.1, ""reg_lambda"": 1, ""subsample"": 0.8}",0.9330679102543957
93,overall_SMOTE,XGBClassifier,recall,"{""colsample_bytree"": 0.8, ""gamma"": 0, ""learning_rate"": 0.4, ""max_depth"": 6, ""n_estimators"": 75, ""reg_alpha"": 0.1, ""reg_lambda"": 1, ""subsample"": 0.8}",0.9307307307307309
94,overall_SMOTE,XGBClassifier,f1-score,"{""colsample_bytree"": 0.8, ""gamma"": 0, ""learning_rate"": 0.4, ""max_depth"": 6, ""n_estimators"": 75, ""reg_alpha"": 0.1, ""reg_lambda"": 1, ""subsample"": 0.8}",0.9310160690982073
95,overall_SMOTE,GradientBoostingClassifier,accuracy,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.2, ""max_depth"": 10, ""min_samples_leaf"": 5, ""min_samples_split"": 3, ""n_estimators"": 50, ""subsample"": 0.7}",0.9288990825688073
96,overall_SMOTE,GradientBoostingClassifier,precision,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.2, ""max_depth"": 10, ""min_samples_leaf"": 5, ""min_samples_split"": 3, ""n_estimators"": 50, ""subsample"": 0.7}",0.9320306540079197
97,overall_SMOTE,GradientBoostingClassifier,recall,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.2, ""max_depth"": 10, ""min_samples_leaf"": 5, ""min_samples_split"": 3, ""n_estimators"": 50, ""subsample"": 0.7}",0.9288788788788789
98,overall_SMOTE,GradientBoostingClassifier,f1-score,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.2, ""max_depth"": 10, ""min_samples_leaf"": 5, ""min_samples_split"": 3, ""n_estimators"": 50, ""subsample"": 0.7}",0.9291334194276448
99,overall_SMOTE,LogisticRegression,accuracy,"{""C"": 0.1, ""max_iter"": 50, ""multi_class"": ""multinomial"", ""penalty"": ""l1"", ""solver"": ""saga"", ""tol"": 1e-05}",0.8338175331294597
100,overall_SMOTE,LogisticRegression,precision,"{""C"": 0.1, ""max_iter"": 50, ""multi_class"": ""multinomial"", ""penalty"": ""l1"", ""solver"": ""saga"", ""tol"": 1e-05}",0.8369507865200336
101,overall_SMOTE,LogisticRegression,recall,"{""C"": 0.1, ""max_iter"": 50, ""multi_class"": ""multinomial"", ""penalty"": ""l1"", ""solver"": ""saga"", ""tol"": 1e-05}",0.8338588588588589
102,overall_SMOTE,LogisticRegression,f1-score,"{""C"": 0.1, ""max_iter"": 50, ""multi_class"": ""multinomial"", ""penalty"": ""l1"", ""solver"": ""saga"", ""tol"": 1e-05}",0.8330425054199614
103,overall_SMOTE,SVC,accuracy,"{""C"": 100, ""degree"": 2, ""gamma"": ""auto"", ""kernel"": ""rbf""}",0.9040180088345225
104,overall_SMOTE,SVC,precision,"{""C"": 100, ""degree"": 2, ""gamma"": ""auto"", ""kernel"": ""rbf""}",0.9084378942331508
105,overall_SMOTE,SVC,recall,"{""C"": 100, ""degree"": 2, ""gamma"": ""auto"", ""kernel"": ""rbf""}",0.9039789789789788
106,overall_SMOTE,SVC,f1-score,"{""C"": 100, ""degree"": 2, ""gamma"": ""auto"", ""kernel"": ""rbf""}",0.9042678385755474
107,overall_SMOTE,DecisionTreeClassifier,accuracy,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.8790519877675841
108,overall_SMOTE,DecisionTreeClassifier,precision,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.8833547910972305
109,overall_SMOTE,DecisionTreeClassifier,recall,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.878978978978979
110,overall_SMOTE,DecisionTreeClassifier,f1-score,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.8795096981400017
111,overall_SMOTE,RandomForestClassifier,accuracy,"{""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.9344631328576283
112,overall_SMOTE,RandomForestClassifier,precision,"{""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.9371797885691073
113,overall_SMOTE,RandomForestClassifier,recall,"{""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.9344594594594595
114,overall_SMOTE,RandomForestClassifier,f1-score,"{""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.9348069330012765
115,overall_SMOTE,ExtraTreesClassifier,accuracy,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",0.9390672782874618
116,overall_SMOTE,ExtraTreesClassifier,precision,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",0.9413140797693487
117,overall_SMOTE,ExtraTreesClassifier,recall,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",0.9390890890890893
118,overall_SMOTE,ExtraTreesClassifier,f1-score,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",0.9391912198236406
119,specific_SMOTE,XGBClassifier,precision_GREEN,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 5, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 0, ""subsample"": 0.8}",0.9653726396835978
120,specific_SMOTE,XGBClassifier,precision_RED,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 5, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 0, ""subsample"": 0.8}",0.9477549935444671
121,specific_SMOTE,XGBClassifier,precision_YELLOW,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 5, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 0, ""subsample"": 0.8}",0.8790275475759346
122,specific_SMOTE,XGBClassifier,recall_GREEN,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 5, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 0, ""subsample"": 0.8}",0.9086336336336336
123,specific_SMOTE,XGBClassifier,recall_RED,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 5, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 0, ""subsample"": 0.8}",0.9529279279279279
124,specific_SMOTE,XGBClassifier,recall_YELLOW,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 5, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 0, ""subsample"": 0.8}",0.9195945945945946
125,specific_SMOTE,XGBClassifier,f1-score_GREEN,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 5, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 0, ""subsample"": 0.8}",0.9355257485279557
126,specific_SMOTE,XGBClassifier,f1-score_RED,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 5, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 0, ""subsample"": 0.8}",0.949490826263637
127,specific_SMOTE,XGBClassifier,f1-score_YELLOW,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 5, ""n_estimators"": 50, ""reg_alpha"": 0, ""reg_lambda"": 0, ""subsample"": 0.8}",0.8973472370668066
128,specific_SMOTE,GradientBoostingClassifier,precision_GREEN,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.1, ""max_depth"": 10, ""min_samples_leaf"": 4, ""min_samples_split"": 3, ""n_estimators"": 50, ""subsample"": 0.7}",0.9672783178057012
129,specific_SMOTE,GradientBoostingClassifier,precision_RED,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.1, ""max_depth"": 10, ""min_samples_leaf"": 4, ""min_samples_split"": 3, ""n_estimators"": 50, ""subsample"": 0.7}",0.953353092422365
130,specific_SMOTE,GradientBoostingClassifier,precision_YELLOW,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.1, ""max_depth"": 10, ""min_samples_leaf"": 4, ""min_samples_split"": 3, ""n_estimators"": 50, ""subsample"": 0.7}",0.8623475355054302
131,specific_SMOTE,GradientBoostingClassifier,recall_GREEN,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.1, ""max_depth"": 10, ""min_samples_leaf"": 4, ""min_samples_split"": 3, ""n_estimators"": 50, ""subsample"": 0.7}",0.8975225225225223
132,specific_SMOTE,GradientBoostingClassifier,recall_RED,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.1, ""max_depth"": 10, ""min_samples_leaf"": 4, ""min_samples_split"": 3, ""n_estimators"": 50, ""subsample"": 0.7}",0.939114114114114
133,specific_SMOTE,GradientBoostingClassifier,recall_YELLOW,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.1, ""max_depth"": 10, ""min_samples_leaf"": 4, ""min_samples_split"": 3, ""n_estimators"": 50, ""subsample"": 0.7}",0.9334834834834835
134,specific_SMOTE,GradientBoostingClassifier,f1-score_GREEN,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.1, ""max_depth"": 10, ""min_samples_leaf"": 4, ""min_samples_split"": 3, ""n_estimators"": 50, ""subsample"": 0.7}",0.9302794637411544
135,specific_SMOTE,GradientBoostingClassifier,f1-score_RED,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.1, ""max_depth"": 10, ""min_samples_leaf"": 4, ""min_samples_split"": 3, ""n_estimators"": 50, ""subsample"": 0.7}",0.9456120800904086
136,specific_SMOTE,GradientBoostingClassifier,f1-score_YELLOW,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.1, ""max_depth"": 10, ""min_samples_leaf"": 4, ""min_samples_split"": 3, ""n_estimators"": 50, ""subsample"": 0.7}",0.8955588419697635
137,specific_SMOTE,LogisticRegression,precision_GREEN,"{""C"": 10000000.0, ""max_iter"": 50, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""saga"", ""tol"": 0.1}",0.9014018962002833
138,specific_SMOTE,LogisticRegression,precision_RED,"{""C"": 10000000.0, ""max_iter"": 50, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""saga"", ""tol"": 0.1}",0.8432812998461134
139,specific_SMOTE,LogisticRegression,precision_YELLOW,"{""C"": 10000000.0, ""max_iter"": 50, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""saga"", ""tol"": 0.1}",0.7716382342716133
140,specific_SMOTE,LogisticRegression,recall_GREEN,"{""C"": 10000000.0, ""max_iter"": 50, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""saga"", ""tol"": 0.1}",0.867042042042042
141,specific_SMOTE,LogisticRegression,recall_RED,"{""C"": 10000000.0, ""max_iter"": 50, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""saga"", ""tol"": 0.1}",0.8865615615615615
142,specific_SMOTE,LogisticRegression,recall_YELLOW,"{""C"": 10000000.0, ""max_iter"": 50, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""saga"", ""tol"": 0.1}",0.748048048048048
143,specific_SMOTE,LogisticRegression,f1-score_GREEN,"{""C"": 10000000.0, ""max_iter"": 50, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""saga"", ""tol"": 0.1}",0.8829032272619098
144,specific_SMOTE,LogisticRegression,f1-score_RED,"{""C"": 10000000.0, ""max_iter"": 50, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""saga"", ""tol"": 0.1}",0.86216900939127
145,specific_SMOTE,LogisticRegression,f1-score_YELLOW,"{""C"": 10000000.0, ""max_iter"": 50, ""multi_class"": ""multinomial"", ""penalty"": ""l2"", ""solver"": ""saga"", ""tol"": 0.1}",0.7546157342666338
146,specific_SMOTE,SVC,precision_GREEN,"{""C"": 1, ""degree"": 5, ""gamma"": ""auto"", ""kernel"": ""poly""}",0.9747218562435954
147,specific_SMOTE,SVC,precision_RED,"{""C"": 1, ""degree"": 5, ""gamma"": ""auto"", ""kernel"": ""poly""}",0.9036626984126984
148,specific_SMOTE,SVC,precision_YELLOW,"{""C"": 1, ""degree"": 5, ""gamma"": ""auto"", ""kernel"": ""poly""}",0.5839204172399066
149,specific_SMOTE,SVC,recall_GREEN,"{""C"": 1, ""degree"": 5, ""gamma"": ""auto"", ""kernel"": ""poly""}",0.6483483483483484
150,specific_SMOTE,SVC,recall_RED,"{""C"": 1, ""degree"": 5, ""gamma"": ""auto"", ""kernel"": ""poly""}",0.6731981981981983
151,specific_SMOTE,SVC,recall_YELLOW,"{""C"": 1, ""degree"": 5, ""gamma"": ""auto"", ""kernel"": ""poly""}",0.9253003003003004
152,specific_SMOTE,SVC,f1-score_GREEN,"{""C"": 1, ""degree"": 5, ""gamma"": ""auto"", ""kernel"": ""poly""}",0.7773806240225539
153,specific_SMOTE,SVC,f1-score_RED,"{""C"": 1, ""degree"": 5, ""gamma"": ""auto"", ""kernel"": ""poly""}",0.7696712041626419
154,specific_SMOTE,SVC,f1-score_YELLOW,"{""C"": 1, ""degree"": 5, ""gamma"": ""auto"", ""kernel"": ""poly""}",0.7155776400785195
155,specific_SMOTE,DecisionTreeClassifier,precision_GREEN,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.9205548483763877
156,specific_SMOTE,DecisionTreeClassifier,precision_RED,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.9236858550480841
157,specific_SMOTE,DecisionTreeClassifier,precision_YELLOW,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.8084578511694724
158,specific_SMOTE,DecisionTreeClassifier,recall_GREEN,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.8696696696696696
159,specific_SMOTE,DecisionTreeClassifier,recall_RED,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.891966966966967
160,specific_SMOTE,DecisionTreeClassifier,recall_YELLOW,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.8753003003003001
161,specific_SMOTE,DecisionTreeClassifier,f1-score_GREEN,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.8930773053725856
162,specific_SMOTE,DecisionTreeClassifier,f1-score_RED,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.9069426505969048
163,specific_SMOTE,DecisionTreeClassifier,f1-score_YELLOW,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.8391663797921096
164,specific_SMOTE,RandomForestClassifier,precision_GREEN,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 50}",0.9619174942704355
165,specific_SMOTE,RandomForestClassifier,precision_RED,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 50}",0.958059358059358
166,specific_SMOTE,RandomForestClassifier,precision_YELLOW,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 50}",0.8451936565044228
167,specific_SMOTE,RandomForestClassifier,recall_GREEN,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 50}",0.8864864864864865
168,specific_SMOTE,RandomForestClassifier,recall_RED,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 50}",0.9334834834834835
169,specific_SMOTE,RandomForestClassifier,recall_YELLOW,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 50}",0.9307057057057057
170,specific_SMOTE,RandomForestClassifier,f1-score_GREEN,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 50}",0.921778132563497
171,specific_SMOTE,RandomForestClassifier,f1-score_RED,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 50}",0.9454064809743912
172,specific_SMOTE,RandomForestClassifier,f1-score_YELLOW,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 50}",0.8851204321011765
173,specific_SMOTE,ExtraTreesClassifier,precision_GREEN,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.9793017888973772
174,specific_SMOTE,ExtraTreesClassifier,precision_RED,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.9618057618057619
175,specific_SMOTE,ExtraTreesClassifier,precision_YELLOW,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.8899693079571129
176,specific_SMOTE,ExtraTreesClassifier,recall_GREEN,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.9058558558558557
177,specific_SMOTE,ExtraTreesClassifier,recall_RED,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.963963963963964
178,specific_SMOTE,ExtraTreesClassifier,recall_YELLOW,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.9529279279279279
179,specific_SMOTE,ExtraTreesClassifier,f1-score_GREEN,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.9407685765443267
180,specific_SMOTE,ExtraTreesClassifier,f1-score_RED,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.9626200833285534
181,specific_SMOTE,ExtraTreesClassifier,f1-score_YELLOW,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.9198917020654583
